rank,layer_name,onnx_node_name,tflite_tensor_idx,block_name,operator_type,semantic_category,weight_params,weight_mae,weight_rmse,weight_cosine,weight_quant_type,activation_mae,activation_rmse,activation_cosine,activation_scale,activation_zero_point,clipping_rate,sensitivity_score,recommendation
88,features/features.4/block/block.1/block.1.2/Mul,/features/features.4/block/block.1/block.1.2/Mul,184,features.4,Mul,hardswish,0,0.0,0.0,1.0,N/A,0.5408347517251968,0.8729848444461823,0.8754655802249909,0.08183810114860535,-123,0.02828125,0.35264189291000364,SELECTIVE FP16 / MIXED-PRECISION
89,features/features.7/block/block.2/avgpool/GlobalAveragePool,/features/features.7/block/block.2/avgpool/GlobalAveragePool,244,features.7,GlobalAveragePool,se_pool,0,0.0,0.0,1.0,N/A,0.20669244468212128,0.3167158690094948,0.8976881968975067,0.020777350291609764,-110,0.0,0.3409247212409973,SELECTIVE FP16 / MIXED-PRECISION
90,features/features.4/block/block.2/Mul,/features/features.4/block/block.2/Mul,190,features.4,Mul,se_gate,0,0.0,0.0,1.0,N/A,0.27663417518138883,0.40992955327034,0.9061000430583954,0.029055485501885414,-116,0.0,0.33755998277664184,SELECTIVE FP16 / MIXED-PRECISION
91,features/features.1/block/block.0/block.0.2/Relu,/features/features.1/block/block.0/block.0.2/Relu,156,features.1,Conv,depthwise_conv,144,0.007778525175025506,0.016721615970745635,0.9999918647048889,per-channel,0.23224443405866624,0.5441609993577003,0.9397618758678437,0.06572616100311279,-128,0.10728759765625,0.33482563647750974,SELECTIVE FP16 / MIXED-PRECISION
92,features/features.4/block/block.2/avgpool/GlobalAveragePool,/features/features.4/block/block.2/avgpool/GlobalAveragePool,185,features.4,GlobalAveragePool,se_pool,0,0.0,0.0,1.0,N/A,0.39009581118822095,0.6458095586299897,0.9202857112884522,0.05271052196621895,-121,0.00020833333333333335,0.3319065488179525,SELECTIVE FP16 / MIXED-PRECISION
93,features/features.1/block/block.1/Mul,/features/features.1/block/block.1/Mul,162,features.1,Mul,se_gate,0,0.0,0.0,1.0,N/A,0.11370109647512436,0.25125988766551016,0.9598363411426544,0.02492140606045723,-128,0.10733642578125,0.3267991061210632,SELECTIVE FP16 / MIXED-PRECISION
94,features/features.1/block/block.1/avgpool/GlobalAveragePool,/features/features.1/block/block.1/avgpool/GlobalAveragePool,157,features.1,GlobalAveragePool,se_pool,0,0.0,0.0,1.0,N/A,0.11597243405878543,0.19039856970310212,0.9891781103610993,0.01377858966588974,-128,0.005,0.3048287558555603,SELECTIVE FP16 / MIXED-PRECISION
95,features/features.0/features.0.2/Mul,/features/features.0/features.0.2/Mul,154,features.0,Mul,hardswish,0,0.0,0.0,1.0,N/A,0.19589786291122435,0.27919165790081024,0.9964835619926453,0.2667642831802368,-127,0.0523193359375,0.22694213366402696,KEEP INT8
96,features/features.4/block/block.2/activation/Relu,/features/features.4/block/block.2/activation/Relu,186,features.4,Conv,se_fc1,2304,0.0002402121526912025,0.0013928914820450283,0.9998899420580553,per-channel,0.0026001034677028655,0.01273785412311554,1.0,0.012664221227169037,-128,1.0,0.16161043758742016,KEEP INT8
97,features/features.0/features.0.0/Conv,/features/features.0/features.0.0/Conv,149,features.0,Conv,stem_conv,432,0.019477204865762796,0.05126101383331324,0.9999824900191981,per-channel,0.1717656546831131,0.20880332469940185,0.9972279453277588,0.6410934329032898,21,1.8310546875e-06,0.08149020760282427,KEEP INT8
98,features/features.1/block/block.1/activation/Relu,/features/features.1/block/block.1/activation/Relu,158,features.1,Conv,se_fc1,128,7.145138604303961e-07,2.371784155816076e-06,0.9999869630628546,per-channel,0.0,0.0,1.0,7.84313680668447e-09,0,0.0,2.607387429076624e-06,KEEP INT8
